,start_tracking_at_element,q0,mass0,p0c,gamma0,beta0,s,x,y,px,py,zeta,chi,charge_ratio,weight,particle_id,at_element,at_turn,state,parent_particle_id,_rng_s1,_rng_s2,_rng_s3,_rng_s4,delta,ptau,rvv,rpp
15,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00028237568114325087,0.00018165911623224372,-9.694570373658039e-06,2.1724001202789696e-06,6.691864240900405e-06,1.0,1.0,0.0,15,0,0,1,15,0,0,0,0,0.00027000047970826557,0.00027000047728343955,1.000000000004849,0.999730072400873
16,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0002453689157296191,0.0003213635274526988,-8.998320375152283e-06,3.852493762148935e-06,6.095713260218681e-06,1.0,1.0,0.0,16,0,0,1,16,0,0,0,0,0.0002700004944682366,0.00027000049204334807,1.000000000004849,0.999730072386121
17,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00018281437062624918,0.00044338790353922147,-7.821813357566963e-06,5.319858580381478e-06,5.084782095486908e-06,1.0,1.0,0.0,17,0,0,1,17,0,0,0,0,0.00027000048524428166,0.00027000048281950633,1.000000000004849,0.99973007239534
18,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,9.897503470566213e-05,0.0005394164849163311,-6.245226329880747e-06,6.4744960875490666e-06,3.727964034938813e-06,1.0,1.0,0.0,18,0,0,1,18,0,0,0,0,0.0002700004526652311,0.00027000045024050374,1.000000000004849,0.9997300724279015
19,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,-4.3557984020757415e-07,0.0006029050824579122,-4.376001092597191e-06,7.23771964566693e-06,2.117723987152887e-06,1.0,1.0,0.0,19,0,0,1,19,0,0,0,0,0.0002700003989513089,0.0002700003965265456,1.000000000004849,0.9997300724815863
20,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0002885233164689928,0.00018344613307286228,-9.81014468900161e-06,2.193914470879105e-06,6.79160426382735e-06,1.0,1.0,0.0,20,0,0,1,20,0,0,0,0,0.0002700004847406845,0.00027000048231589523,1.000000000004849,0.9997300723958433
21,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00025096421127306806,0.00032523568475929424,-9.103502899473383e-06,3.899084137254592e-06,6.186555507314557e-06,1.0,1.0,0.0,21,0,0,1,21,0,0,0,0,0.00027000049972092377,0.0002700004972961009,1.000000000004849,0.9997300723808711
22,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00018747601624278205,0.0004490813201903919,-7.909436075655446e-06,5.3883499229234414e-06,5.160535817736039e-06,1.0,1.0,0.0,22,0,0,1,22,0,0,0,0,0.0002700004903593012,0.0002700004879345898,1.000000000004849,0.9997300723902277
23,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00010238534695024596,0.0005465431639761152,-6.309317898302267e-06,6.560220825720397e-06,3.783466741358868e-06,1.0,1.0,0.0,23,0,0,1,23,0,0,0,0,0.000270000457294195,0.0002700004548693335,1.000000000004849,0.9997300724232749
24,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,1.490991888766263e-06,0.0006109793525257795,-4.412193776880152e-06,7.33483578022808e-06,2.1491932600238984e-06,1.0,1.0,0.0,24,0,0,1,24,0,0,0,0,0.0002700004027784697,0.0002700004003536745,1.000000000004849,0.9997300724777612
